,Number,F true,F guess,d true,d guess,MAE guess,MAE ground truth,MAE spectrum
0,0.0,-0.8867285389293839,-0.8856812119483948,-0.8363678046035191,-0.8369804620742798,0.0008299946784973145,0.0058936704881489286,0.0018020746065303683
1,1.0,-0.8040922961075716,-0.8053479790687561,0.8044212402192024,0.8048389554023743,0.0008367002010345459,0.012760201469063759,0.012361015193164349
2,2.0,-0.5574147192123258,-0.5605596899986267,-0.027618855729449457,-0.027501314878463745,0.0016312599182128904,0.006976559292525053,0.006993613671511412
3,3.0,-0.9898360487051964,-0.9896247982978821,-0.6999870959930842,-0.6993227601051331,0.00043779611587524414,0.002496408531442285,0.0020324280485510826
4,4.0,-0.9777341587588488,-0.9774048924446106,-0.3781561645711207,-0.3787122964859009,0.00044269859790802,0.002611092524603009,0.0019072017166763546
5,5.0,-0.8247995927374537,-0.8261235356330872,0.681824905823995,0.6811951994895935,0.0009768307209014893,0.009900256991386414,0.008931249380111694
6,6.0,-0.8564913968747507,-0.8571172952651978,-0.2311445365459827,-0.2311834394931793,0.00033240765333175665,0.0032162023708224297,0.0030810430180281396
7,7.0,-0.9241923763960296,-0.9239139556884766,-0.7911951866518397,-0.7918485999107361,0.0004658997058868408,0.003745834343135357,0.002420221222564578
8,8.0,-0.4214808865560463,-0.4207814335823059,-0.7169324599550008,-0.717119038105011,0.0004430115222930908,0.004269828088581562,0.0037447004579007626
9,9.0,-0.8440420591509914,-0.8441610932350159,-0.41705986895181296,-0.4169760942459105,0.0001014024019241333,0.002780427923426032,0.0026752043049782515
10,10.0,-0.7327330669972901,-0.7350106239318848,-0.11357763566008165,-0.11377310007810593,0.0012365095317363741,0.004721732810139656,0.0041855471208691606
11,11.0,-0.6771688580188661,-0.678681492805481,-0.2250422500884587,-0.2253479063510895,0.0009091496467590332,0.005167247261852026,0.004399087745696306
12,12.0,-0.5785912910618786,-0.5797529220581055,-0.7283426152308046,-0.7286019921302795,0.0007105171680450437,0.003707318101078272,0.002697527408599853
13,13.0,-0.7641368300932234,-0.7633565068244934,-0.1476966484914553,-0.14799857139587402,0.0005411356687545776,0.004941432736814022,0.0041143898852169505
14,14.0,-0.966989657401422,-0.9666242003440856,-0.6919835781217679,-0.6918917894363403,0.00022861361503601074,0.0022755584213882685,0.0016183971893042324
