,Number,F true,F guess,d true,d guess,MAE ground truth,MAE spectrum
0,0.0,-0.8867285389293839,-0.88694828748703,-0.8363678046035191,-0.836498498916626,0.0018284028628841047,0.0015828898176550865
1,1.0,-0.8040922961075716,-0.8091498017311096,0.8044212402192024,0.8047033548355103,0.010814382694661616,0.008955193683505058
2,2.0,-0.5574147192123258,-0.5585002899169922,-0.027618855729449457,-0.02790430560708046,0.004646805580705404,0.003825089894235135
3,3.0,-0.9898360487051964,-0.9894847869873048,-0.6999870959930842,-0.7007735371589661,0.0028716642409563065,0.0019020077306777239
4,4.0,-0.9777341587588488,-0.9780527353286744,-0.3781561645711207,-0.37812116742134094,0.002280330751091243,0.0019722115248441696
5,5.0,-0.8247995927374537,-0.8264959454536438,0.681824905823995,0.6815065741539001,0.0058972775004804134,0.005249769892543554
6,6.0,-0.8564913968747507,-0.8570587635040283,-0.2311445365459827,-0.23120442032814026,0.0025354456156492233,0.00245718564838171
7,7.0,-0.9241923763960296,-0.9237931370735168,-0.7911951866518397,-0.7912570834159851,0.001816440257243812,0.0017278689192608
8,8.0,-0.4214808865560463,-0.4205770790576935,-0.7169324599550008,-0.7169484496116638,0.003074624575674534,0.00306997774168849
9,9.0,-0.8440420591509914,-0.8441082835197449,-0.41705986895181296,-0.4171441495418549,0.0022373686078935857,0.002194221131503582
10,10.0,-0.7327330669972901,-0.7321300506591797,-0.11357763566008165,-0.11390285938978195,0.004445297177881002,0.0034384995233267546
11,11.0,-0.6771688580188661,-0.6778908371925354,-0.2250422500884587,-0.2251603901386261,0.003968619741499424,0.003868345636874437
12,12.0,-0.5785912910618786,-0.5770500898361206,-0.7283426152308046,-0.7284101843833923,0.003159689251333475,0.0030286090914160013
13,13.0,-0.7641368300932234,-0.7635412812232971,-0.1476966484914553,-0.14787718653678894,0.0033931261859834194,0.0030681067146360874
14,14.0,-0.966989657401422,-0.9385913610458374,-0.6919835781217679,-0.8462957143783569,0.0032129073515534397,0.047610506415367126
15,15.0,-0.9600712539863592,-0.9597803354263306,-0.5708309616426165,-0.5708144903182983,0.001899029943160713,0.0017359548946842553
16,16.0,-0.8554871977999271,-0.85614013671875,-0.1630133804200892,-0.16324298083782196,0.0028518999461084604,0.0024781289976090197
17,17.0,-0.7539017722978947,-0.7546351552009583,0.17923793828622142,0.17937684059143064,0.003486362053081393,0.0033677734900265928
18,18.0,-0.9361691418400152,-0.870746910572052,-0.6883913210962662,-0.8447635769844055,0.00196627527475357,0.06105959042906761
19,19.0,-0.6858004978025793,-0.6862720847129822,-0.25045208120213275,-0.25041714310646057,0.0034614861942827697,0.0034485491923987865
20,20.0,-0.7778628528334409,-0.7775592803955078,0.11631985406065927,0.11610759049654007,0.0048359232023358345,0.004389713518321514
21,21.0,-0.8035388034885238,-0.8033483624458313,0.10704179121902667,0.1069166138768196,0.0039052374195307493,0.0036917906254529953
22,22.0,-0.8503211951447243,-0.8501095771789551,-0.8262473528917474,-0.8263453245162964,0.00199260818772018,0.0016469822730869055
23,23.0,-0.9156486011214092,-0.9154030084609984,-0.5034546252759884,-0.5035108327865601,0.0018697875784710047,0.0017492967890575528
24,24.0,0.8760107520045458,0.6021584272384644,-0.1105281616616457,-0.11071746796369553,0.01569194719195366,0.02229147218167782
25,25.0,-0.8867285389293839,-0.8870055079460144,-0.25196710675894474,-0.2519741654396057,0.002432230394333601,0.0024212298449128858
26,26.0,-0.9370036150215092,-0.9368062019348145,-0.8047440309991666,-0.8047026991844177,0.0019025764195248485,0.0018636775203049183
27,27.0,-0.8032508731546982,-0.8028593063354492,-0.09172254565182594,-0.09191416203975676,0.002996266586706043,0.0024979924783110623
28,28.0,-0.794832332933173,-0.7941745519638062,-0.6573551590609419,-0.6574493646621704,0.002451816573739052,0.0021553256083279852
29,29.0,-0.929075834950192,-0.9289353489875792,-0.3482687061529541,-0.34812140464782715,0.0018709168070927267,0.0017256448045372965
30,30.0,-0.8554871977999271,-0.8554783463478088,-0.8458182542879112,-0.8458602428436279,0.0019213028717786074,0.0018635854357853528
31,31.0,-0.7812404463790054,-0.7805277109146118,0.7474997609976329,0.7466500997543335,0.011217608116567137,0.008504076860845089
32,32.0,-0.8480081578411146,-0.8493158221244812,0.004429331185963835,0.004289597738534212,0.003242997452616692,0.0026724666822701693
33,33.0,-0.8192114494575218,-0.8203436732292175,0.5600472157414011,0.559906542301178,0.003947006538510323,0.003498193109408021
34,34.0,-0.9641077503747492,-0.963693916797638,-0.050852063933992366,-0.05092871934175491,0.002584087895229459,0.002062401734292507
35,35.0,-0.9357098409611778,-0.935674786567688,-0.5349220812402443,-0.5350358486175537,0.0019860295578837395,0.00193870987277478
36,36.0,-0.1611875620623033,-0.16857600212097168,0.27451300774282433,0.2745775282382965,0.007394232787191869,0.007186518982052803
37,37.0,-0.7539017722978947,-0.7545322775840759,-0.3121112026663708,-0.3119841516017914,0.002954074647277593,0.0028246205765753984
38,38.0,-0.9121792717086832,-0.9120276570320128,-0.9148789346253822,-0.9148770570755004,0.002098217373713851,0.0020979184191673994
39,39.0,-0.9972096668454616,-0.9968441724777222,-0.7214682200106112,-0.7188403606414795,0.002844738308340311,0.0021472699008882046
40,40.0,-0.9739552657590156,-0.9736003875732422,-0.811805610856873,-0.8116925954818726,0.002036907011643052,0.0017660596640780566
41,41.0,-0.6886745495586989,-0.6888896822929382,0.3616893140162996,0.3617182672023773,0.004464353434741497,0.004490638617426157
